DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH
1957-05-01,28.0,22.4312,.,0.00000,.,.
1957-06-01,28.11,22.4866,.,0.00000,.,.
1957-07-01,28.19,22.6250,.,0.00000,.,.
1957-08-01,28.28,22.6250,.,0.00000,.,.
1957-09-01,28.32,22.4312,.,0.00000,.,.
1957-10-01,28.32,22.0988,.,0.00000,.,.
1957-11-01,28.41,21.5727,.,0.00000,.,.
1957-12-01,28.47,21.1573,.,-2.28013,.,.
1958-01-01,28.64,20.7696,.,2.33333,.,.
1958-02-01,28.7,20.3265,.,0.00000,.,.
1958-03-01,28.87,20.0773,.,0.00000,.,.
1958-04-01,28.94,19.7450,.,0.00000,.,.
1958-05-01,28.94,19.9388,.,0.00000,.,.
1958-06-01,28.91,20.4650,.,0.00000,.,.
1958-07-01,28.89,20.7696,.,0.00000,.,.
1958-08-01,28.94,21.1850,.,0.00000,.,.
1958-09-01,28.91,21.3788,.,0.00000,.,.
1958-10-01,28.91,21.6281,.,0.00000,.,.
1958-11-01,28.95,22.2650,.,-2.28013,.,.
1958-12-01,28.97,22.2927,.,0.00000,.,.
1959-01-01,29.01,22.6250,.,0.00000,.,.
1959-02-01,29.0,23.0681,.,0.00000,.,0.60350
1959-03-01,28.97,23.4004,.,-1.00000,.,-2.81944
1959-04-01,28.98,23.8989,.,0.00000,.,-1.85185
1959-05-01,29.04,24.2589,.,0.00000,.,-5.78616
1959-06-01,29.11,24.2866,.,0.00000,.,0.33378
1959-07-01,29.15,23.7050,.,0.00000,.,2.92748
1959-08-01,29.18,22.9019,.,0.00000,.,-7.56303
1959-09-01,29.25,22.8743,.,0.00000,.,7.69231
1959-10-01,29.35,22.7081,.,0.00000,.,-12.01299
1959-11-01,29.35,22.8466,.,0.00000,.,4.50185
1959-12-01,29.41,24.2589,.,0.00000,.,13.06497
1960-01-01,29.37,24.8958,.,0.00000,.,-8.80700
1960-02-01,29.41,24.6743,.,0.00000,.,2.94521
1960-03-01,29.41,24.4528,.,0.00000,.,-26.21424
1960-04-01,29.54,24.2589,.,0.00000,.,16.23084
1960-05-01,29.57,24.2312,.,0.00000,.,-1.39643
1960-06-01,29.61,23.9266,.,0.00000,.,-1.88828
1960-07-01,29.55,23.8435,.,0.00000,.,-4.00962
1960-08-01,29.61,23.8158,.,0.00000,.,12.28070
1960-09-01,29.61,23.5666,.,0.00000,.,-18.37798
1960-10-01,29.75,23.5389,.,0.00000,.,13.58250
1960-11-01,29.78,23.2066,.,0.00000,.,0.00000
1960-12-01,29.81,22.7635,.,0.00000,.,-14.68700
1961-01-01,29.84,22.7912,.,0.00000,.,11.28881
1961-02-01,29.84,22.7635,.,0.00000,.,3.63483
1961-03-01,29.84,22.9020,.,0.00000,.,7.01468
1961-04-01,29.81,23.3727,.,0.00000,.,-11.12805
1961-05-01,29.84,23.7327,.,0.00000,.,5.31732
1961-06-01,29.84,24.0650,.,0.00000,.,12.54072
1961-07-01,29.92,24.3420,.,0.00000,.,-3.40087
1961-08-01,29.94,24.5635,.,0.00000,.,-1.72285
1961-09-01,29.98,24.5358,.,0.00000,.,8.91768
1961-10-01,29.98,25.0066,.,0.00000,.,-0.97971
1961-11-01,29.98,25.3943,.,0.00000,.,-2.12014
1961-12-01,30.01,25.6158,.,0.00000,.,-1.44404
1962-01-01,30.04,25.3943,.,0.00000,.,-0.29304
